id,1st_name,2nd_name,position,team,tot_pts,prvGWsPtsTrend,web_name,pts/game,form,xPts,fplAdv_nxtGWs,fplAdv*xPts,defAdv_nxtGWs,defAdv*xPts,attAdv_nxtGWs,attAdv*xPts,avgAdv*xPts,#OfMatches_nxtGWs,tot_xPts,gw6Pts,gw7Pts,gw8Pts,tot_aPts,tot_aPts/tot_xPts,nxtGWsPtsTrend
122,Simon,Adingra,MID,BHA,13,?,"Adingra (MID, ?)",3.2,2.3,2.9,5,14.5,-4,0.0,5,14.5,14.5,3,8.7,2,1,7,10,1.14943,~
140,Solly,March,MID,BHA,29,?,"March (MID, ?)",7.2,1.7,5.367,5,26.835,-4,0.0,5,26.835,26.835,3,16.101,0,2,7,9,0.55897,v
129,Lewis,Dunk,DEF,BHA,9,?,"Dunk (DEF, ?)",1.8,1.7,1.767,5,8.834999999999999,-4,-2.263723825693265,5,0.0,3.285638087153367,3,5.301,1,-2,8,7,1.32051,~
152,Bart,Verbruggen,GKP,BHA,4,?,"Verbruggen (GKP, ?)",2.0,1.3,1.767,5,8.834999999999999,-4,-2.263723825693265,5,0.0,3.285638087153367,3,5.301,2,0,1,3,0.56593,v
138,Adam,Lallana,MID,BHA,5,?,"Lallana (MID, ?)",1.2,1.3,1.233,5,6.165000000000001,-4,0.0,5,6.165000000000001,6.165000000000001,3,3.699,0,0,0,0,0.0,vv
131,Pervis,Estupiñán,DEF,BHA,21,?,"Estupiñan (DEF, ?)",5.2,1.0,3.8,5,19.0,-4,-1.0526315789473684,5,0.0,8.973684210526315,3,11.4,6,-2,0,4,0.35088,vv
148,Jason,Steele,GKP,BHA,8,?,"Steele (GKP, ?)",2.7,1.0,2.133,5,10.665,-4,-1.875293014533521,5,0.0,4.394853492733239,3,6.399,0,0,0,0,0.0,vv
150,Jan Paul,van Hecke,DEF,BHA,5,?,"Van Hecke (DEF, ?)",1.7,1.0,1.467,5,7.335000000000001,-4,-2.7266530334015,5,0.0,2.304173483299251,3,4.401,0,0,1,1,0.22722,vv
142,James,Milner,MID,BHA,6,?,"Milner (MID, ?)",1.2,1.0,1.133,5,5.665,-4,0.0,5,5.665,5.665,3,3.399,0,0,0,0,0.0,vv
128,Mahmoud,Dahoud,MID,BHA,6,?,"Dahoud (MID, ?)",1.5,0.7,1.233,5,6.165000000000001,-4,0.0,5,6.165000000000001,6.165000000000001,3,3.699,5,0,0,5,1.35172,~
700,Anssumane,Fati Vieira,MID,BHA,1,?,"Ansu Fati (MID, ?)",1.0,0.5,0.833,5,4.165,-4,0.0,5,4.165,4.165,3,2.499,1,5,1,7,2.80112,^^^
153,Adam,Webster,DEF,BHA,2,?,"Webster (DEF, ?)",1.0,0.3,0.767,5,3.835,-4,-5.215123859191656,5,0.0,-0.6900619295958279,3,2.301,2,-1,0,1,0.43459,v
130,Julio,Enciso,MID,BHA,8,?,"Enciso (MID, ?)",4.0,0.0,0.0,5,0.0,-4,0.0,5,0.0,0.0,3,0.0,0,0,0,0,,?
123,Steven,Alzate,MID,BHA,0,?,"Alzate (MID, ?)",0.0,0.0,0.0,5,0.0,-4,0.0,5,0.0,0.0,3,0.0,0,0,0,0,,?
124,Yasin,Ayari,MID,BHA,0,?,"Ayari (MID, ?)",0.0,0.0,0.0,5,0.0,-4,0.0,5,0.0,0.0,3,0.0,0,0,0,0,,?
125,Facundo,Buonanotte,MID,BHA,0,?,"Buonanotte (MID, ?)",0.0,0.0,0.0,5,0.0,-4,0.0,5,0.0,0.0,3,0.0,1,0,0,1,inf,^^^
127,Aaron,Connolly,FWD,BHA,0,?,"Connolly (FWD, ?)",0.0,0.0,0.0,5,0.0,-4,0.0,5,0.0,0.0,3,0.0,0,0,0,0,,?
136,Michał,Karbownik,DEF,BHA,0,?,"Karbownik (DEF, ?)",0.0,0.0,0.0,5,0.0,-4,-inf,5,0.0,-inf,3,0.0,0,0,0,0,,?
137,Kacper,Kozłowski,MID,BHA,0,?,"Kozłowski (MID, ?)",0.0,0.0,0.0,5,0.0,-4,0.0,5,0.0,0.0,3,0.0,0,0,0,0,,?
141,Tom,McGill,GKP,BHA,0,?,"McGill (GKP, ?)",0.0,0.0,0.0,5,0.0,-4,-inf,5,0.0,-inf,3,0.0,0,0,0,0,,?
