id,1st_name,2nd_name,position,team,prvGWsPtsTrend,web_name,tot_pts,fixtures_played,fixtures_not_played,std_form,form,MeanAbsDev(form),med_form,MedAbsDev(form),std_pts_dev,avg_pts/fixture,MeanAbsDev(avg_pts/fixture),med_pts,MedAbsDev(pts),std_pts_dev_played,avg_pts/fixture_played,MeanAbsDev(avg_pts/fixture_played),med_pts_played,MedAbsDev(pts_played),xPts,fplAdv_nxtGWs,^fplAdv*xPts,defAdv_nxtGWs,^defAdv*xPts,attAdv_nxtGWs,^attAdv*xPts,^avgAdv*xPts,#OfMatches_nxtGWs,gw9Pts,tot_aPts,(tot_aPts)-(^avgAdv*xPts),nxtGWsPtsTrend
538,Tawanda,Chirewa,MID,WOL,?,"Chirewa (MID, ?)",0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7,0.0,0,0.0,-1,0.0,0.0,1,0,0,0,?
539,Leon,Chiwome,FWD,WOL,?,"Chiwome (FWD, ?)",0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7,0.0,0,0.0,-1,0.0,0.0,1,0,0,0,?
540,Luke,Cundle,MID,WOL,?,"Cundle (MID, ?)",0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7,0.0,0,0.0,-1,0.0,0.0,1,0,0,0,?
545,Fábio,Silva,FWD,WOL,?,"Fábio Silva (FWD, ?)",0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7,0.0,0,0.0,-1,0.0,0.0,1,0,0,0,?
546,Nathan,Fraser,FWD,WOL,?,"Fraser (FWD, ?)",0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7,0.0,0,0.0,-1,0.0,0.0,1,0,0,0,?
547,Enso,González,MID,WOL,?,"Gonzalez (MID, ?)",0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7,0.0,0,0.0,-1,0.0,0.0,1,0,0,0,?
549,Hugo,Bueno López,DEF,WOL,?,"H.Bueno (DEF, ?)",0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7,0.0,-7,0.0,0,0.0,0.0,1,0,0,0,?
551,Joe,Hodge,MID,WOL,?,"Hodge (MID, ?)",0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7,0.0,0,0.0,-1,0.0,0.0,1,0,0,0,?
552,Ki-Jana,Hoever,DEF,WOL,?,"Hoever (DEF, ?)",0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7,0.0,-7,0.0,0,0.0,0.0,1,0,0,0,?
555,Saša,Kalajdžić,FWD,WOL,?,"Kalajdžić (FWD, ?)",0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7,0.0,0,0.0,-1,0.0,0.0,1,0,0,0,?
556,Tom,King,GKP,WOL,?,"King (GKP, ?)",0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7,0.0,-7,0.0,0,0.0,0.0,1,0,0,0,?
561,Pedro,Cardoso de Lima,DEF,WOL,?,"Pedro Lima (DEF, ?)",0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7,0.0,-7,0.0,0,0.0,0.0,1,0,0,0,?
637,Bastien,Meupiyou,DEF,WOL,?,"Meupiyou (DEF, ?)",0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7,0.0,-7,0.0,0,0.0,0.0,1,0,0,0,?
664,Alfie,Pond,DEF,WOL,?,"Pond (DEF, ?)",0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7,0.0,-7,0.0,0,0.0,0.0,1,0,0,0,?
565,Pablo,Sarabia,MID,WOL,?,"Sarabia (MID, ?)",2,2,6,0.4714045207910317,-0.3333333333333333,0.4444444444444445,0.0,0.0,0.4330127018922193,0.25,0.375,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.11051982677,-7,-0.6790123456790124,0,0.0,-1,-0.38271604938271603,-0.53086419753,1,0,0,0,?
