id,1st_name,2nd_name,position,team,tot_pts,prvGWsPtsTrend,web_name,pts/game,form,xPts,#OfMatches_nxtGWs,tot_xPts,gw31Pts,gw32Pts,tot_aPts,tot_aPts/tot_xPts,nxtGWsPtsTrend
195,Anthony,Gordon,MID,NEW,50,?,Gordon (MID),2.2,0.8,1.733,2,3.466,1,1,2,0.57703,v
552,Elliot,Anderson,MID,NEW,14,?,Anderson (MID),1.0,0.8,0.933,2,1.866,1,0,1,0.53591,v
350,Matt,Ritchie,DEF,NEW,6,?,Ritchie (DEF),1.0,0.5,0.833,2,1.666,0,0,0,0.0,vv
367,Matt,Targett,DEF,NEW,25,?,Targett (DEF),2.1,0.2,1.467,2,2.934,1,0,1,0.34083,vv
363,Javier,Manquillo Gaitán,DEF,NEW,2,?,Manquillo (DEF),1.0,0.2,0.733,2,1.466,0,1,1,0.68213,~
360,Jamaal,Lascelles,DEF,NEW,2,?,Lascelles (DEF),0.7,0.2,0.533,2,1.066,0,1,1,0.93809,~
355,Martin,Dubravka,GKP,NEW,8,?,Dubravka (GKP),8.0,0.0,5.333,2,10.666,0,0,0,0.0,vv
369,Miguel,Almirón Rejala,MID,NEW,136,?,Almirón (MID),5.4,0.0,3.6,2,7.2,1,4,5,0.69444,~
359,Ryan,Fraser,MID,NEW,11,?,Fraser (MID),1.4,0.0,0.933,2,1.866,0,0,0,0.0,vv
364,Emil,Krafth,DEF,NEW,1,?,Krafth (DEF),1.0,0.0,0.667,2,1.334,0,0,0,0.0,vv
372,Jamal,Lewis,DEF,NEW,1,?,Lewis (DEF),1.0,0.0,0.667,2,1.334,0,0,0,0.0,vv
351,Federico,Fernández,DEF,NEW,0,?,Fernández (DEF),0.0,0.0,0.0,2,0.0,0,0,0,,?
352,Ciaran,Clark,DEF,NEW,0,?,Clark (DEF),0.0,0.0,0.0,2,0.0,0,0,0,,?
353,Karl,Darlow,GKP,NEW,0,?,Darlow (GKP),0.0,0.0,0.0,2,0.0,0,0,0,,?
