id,1st_name,2nd_name,position,team,tot_pts,prvGWsPtsTrend,web_name,pts/game,form,xPts,^fplAdv*xPts,^defAdv*xPts,^attAdv*xPts,^avgAdv*xPts,fplAdv_nxtGWs,defAdv_nxtGWs,attAdv_nxtGWs,#OfMatches_nxtGWs,tot_xPts,gw24Pts,gw25Pts,gw26Pts,tot_aPts,tot_aPts/tot_xPts,nxtGWsPtsTrend
465,Harry,Toffolo,DEF,NFO,41,vv,"Toffolo (DEF, vv)",2.9,0.3,1.9068,1.6949333333333332,1.4830666666666668,0.0,1.589,-11,-13,0,3,5.7204,0,0,1,1,0.17481,vv
434,Brandon,Aguilera Zamora,MID,NFO,1,vv,"B.Aguilera (MID, vv)",1.0,0.3,0.7326,0.6512,0.0,0.6105,0.63085,-11,0,-12,3,2.1978,0,0,0,0,0.0,vv
439,Willy,Boly,DEF,NFO,37,vv,"Boly (DEF, vv)",2.5,0.0,1.545,1.373333333333333,1.2016666666666669,0.0,1.2875,-11,-13,0,3,4.635,0,0,0,0,0.0,vv
604,Olu,Aina,DEF,NFO,34,vv,"Aina (DEF, vv)",2.4,0.0,1.4832,1.3184000000000002,1.1536000000000002,0.0,1.236,-11,-13,0,3,4.4496,0,0,0,0,0.0,vv
455,Scott,McKenna,DEF,NFO,12,vv,"McKenna (DEF, vv)",2.4,0.0,1.4832,1.3184000000000002,1.1536000000000002,0.0,1.236,-11,-13,0,3,4.4496,0,0,0,0,0.0,vv
710,Odysseas,Vlachodimos,GKP,NFO,12,vv,"Odysseas (GKP, vv)",2.4,0.0,1.4832,1.3184000000000002,1.1536000000000002,0.0,1.236,-11,-13,0,3,4.4496,0,0,0,0,0.0,vv
436,Serge,Aurier,DEF,NFO,27,vv,"Aurier (DEF, vv)",2.2,0.0,1.3596,1.2085333333333332,1.0574666666666666,0.0,1.133,-11,-13,0,3,4.0788,0,0,0,0,0.0,vv
469,Joe,Worrall,DEF,NFO,13,vv,"Worrall (DEF, vv)",1.9,0.0,1.1742,1.0437333333333332,0.9132666666666666,0.0,0.9785,-11,-13,0,3,3.5226,0,0,0,0,0.0,vv
713,Ibrahim,Sangaré,MID,NFO,19,vv,"Sangaré (MID, vv)",1.7,0.0,1.0506,0.9338666666666666,0.0,0.8755,0.90468,-11,0,-12,3,3.1518,0,0,0,0,0.0,vv
457,Moussa,Niakhaté,DEF,NFO,18,vv,"Niakhaté (DEF, vv)",1.3,0.0,0.8034,0.7141333333333334,0.6248666666666667,0.0,0.6695,-11,-13,0,3,2.4102,1,0,6,7,2.90432,^^^
451,Cheikhou,Kouyaté,MID,NFO,10,vv,"Kouyaté (MID, vv)",1.0,0.0,0.618,0.5493333333333333,0.0,0.515,0.53217,-11,0,-12,3,1.854,0,0,0,0,0.0,vv
714,Divock,Origi,FWD,NFO,8,vv,"Origi (FWD, vv)",0.9,0.0,0.5562,0.4944,0.0,0.4635,0.47895,-11,0,-12,3,1.6686,1,1,4,6,3.59583,^^^
445,Felipe Augusto,de Almeida Monteiro,DEF,NFO,1,vv,"Felipe (DEF, vv)",0.3,0.0,0.1854,0.1648,0.1442,0.0,0.1545,-11,-13,0,3,0.5562,0,6,-1,5,8.98957,^^^
435,Harry,Arter,MID,NFO,0,?,"Arter (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11,0,-12,3,0.0,0,0,0,0,,?
438,Giulian,Biancone,DEF,NFO,0,?,"Biancone (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11,-13,0,3,0.0,0,0,0,0,,?
440,Josh,Bowler,MID,NFO,0,?,"Bowler (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11,0,-12,3,0.0,0,0,0,0,,?
441,Steve,Cook,DEF,NFO,0,?,"Cook (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11,-13,0,3,0.0,0,0,0,0,,?
443,Emmanuel,Dennis,FWD,NFO,0,?,"Dennis (FWD, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11,0,-12,3,0.0,0,0,0,0,,?
444,Mohamed,Dräger,DEF,NFO,0,?,"Dräger (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11,-13,0,3,0.0,0,0,0,0,,?
446,Remo,Freuler,MID,NFO,0,?,"Freuler (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11,0,-12,3,0.0,0,0,0,0,,?
448,Wayne,Hennessey,GKP,NFO,0,?,"Hennessey (GKP, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11,-13,0,3,0.0,0,0,0,0,,?
449,Ethan,Horvath,GKP,NFO,0,?,"Horvath (GKP, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11,-13,0,3,0.0,0,0,0,0,,?
