id,1st_name,2nd_name,position,team,prvGWsPtsTrend,web_name,tot_pts,pts/match,form,xPts,avgPtsDev,fplAdv_nxtGWs,^fplAdv*xPts,defAdv_nxtGWs,^defAdv*xPts,attAdv_nxtGWs,^attAdv*xPts,^avgAdv*xPts,#OfMatches_nxtGWs,gw7Pts,tot_aPts,(tot_aPts)-(^avgAdv*xPts),nxtGWsPtsTrend
267,Leif,Davis,DEF,IPS,~,"Davis (DEF, ~)",18,3.0,3.3,3.11458980338,2.33333333333,1,1.7303276685444444,2,1.9033604353988889,0,0.0,1.81684405197,1,0,0,-1.81684405197,2↓
274,Omari,Giraud-Hutchinson,MID,IPS,4↑,"Hutchinson (MID, 4↑)",14,2.33333333333,3.0,2.58797734083,1.22222222222,1,1.43776518935,0,0.0,-2,1.006435632545,1.22210041095,1,2,2,0.77789958905,~
630,Dara,O'Shea,DEF,IPS,~,"O'Shea (DEF, ~)",9,1.5,3.0,2.07294901688,2.375,1,1.1516383427111112,2,1.2668021769822224,0,0.0,1.20922025985,1,0,0,-1.20922025985,1↓
270,Jacob,Greaves,DEF,IPS,~,"Greaves (DEF, ~)",11,1.83333333333,2.7,2.16437054308,1.5,1,1.2024280794888889,2,1.322670887437778,0,0.0,1.26254948346,1,0,0,-1.26254948346,1↓
282,Axel,Tuanzebe,DEF,IPS,~,"Tuanzebe (DEF, ~)",11,1.83333333333,2.7,2.16437054308,1.5,1,1.2024280794888889,2,1.322670887437778,0,0.0,1.26254948346,1,0,0,-1.26254948346,1↓
631,Jack,Clarke,MID,IPS,4↑,"J.Clarke (MID, 4↑)",8,1.33333333333,2.3,1.70256714421,1.5,1,0.9458706356722224,0,0.0,-2,0.6621094449705556,0.80399004032,1,1,1,0.19600995968,~
611,Sam,Szmodics,MID,IPS,~,"Szmodics (MID, ~)",13,2.16666666667,1.3,1.83562945692,1.27777777778,1,1.0197941427333337,0,0.0,-2,0.7138558999133333,0.86682502132,1,1,1,0.13317497867999994,~
359,Kalvin,Phillips,MID,IPS,1↑,"Phillips (MID, 1↑)",6,1.0,1.3,1.11458980338,1.0,1,0.6192165574333333,0,0.0,-2,0.4334515902033333,0.52633407382,1,2,2,1.47366592618,1↑
264,Wes,Burns,MID,IPS,~,"Burns (MID, ~)",4,0.66666666667,1.3,0.90857847379,0.66666666667,1,0.5047658187722223,0,0.0,-2,0.3533360731405555,0.42905094596,1,2,2,1.57094905404,1↑
632,Chiedozie,Ogbene,MID,IPS,2↑,"Ogbene (MID, 2↑)",5,0.83333333333,1.0,0.89699433521,0.75,1,0.4983301862277778,0,0.0,-2,0.3488311303594444,0.42358065829,1,1,1,0.57641934171,~
272,George,Hirst,FWD,IPS,~,"Hirst (FWD, ~)",3,0.5,1.0,0.69098300563,0.5,1,0.3838794475722222,0,0.0,-2,0.2687156133005556,0.32629753044,1,1,1,0.67370246956,~
277,Massimo,Luongo,MID,IPS,~,"Luongo (MID, ~)",6,1.0,0.7,0.88541019662,0.66666666667,1,0.4918945536777778,0,0.0,-2,0.3443261875744444,0.41811037063,1,0,0,-0.41811037063,~
265,Conor,Chaplin,MID,IPS,~,"Chaplin (MID, ~)",6,1.0,0.7,0.88541019662,0.33333333333,1,0.4918945536777778,0,0.0,-2,0.3443261875744444,0.41811037063,1,1,1,0.58188962937,~
619,Jens,Cajuste,MID,IPS,~,"Cajuste (MID, ~)",3,0.5,0.7,0.57639320225,0.72,1,0.3202184456944444,0,0.0,-2,0.2241529119861111,0.27218567884,1,0,0,-0.27218567884,~
275,Ben,Johnson,DEF,IPS,~,"Johnson (DEF, ~)",4,0.66666666667,0.3,0.52661246254,0.88888888889,1,0.2925624791888889,2,0.3218187271077778,0,0.0,0.30719060315,1,0,0,-0.30719060315,~
281,Jack,Taylor,MID,IPS,~,"Taylor (MID, ~)",3,0.5,0.3,0.42360679775,0.5,1,0.2353371098611111,0,0.0,-2,0.1647359769027777,0.20003654338,1,1,1,0.79996345662,~
283,Christian,Walton,GKP,IPS,~,"Walton (GKP, ~)",2,0.33333333333,0.0,0.20601132958,0.55555555556,1,0.1144507386555555,2,0.1258958125211111,0,0.0,0.12017327559,1,0,0,-0.12017327559,~
284,Luke,Woolfenden,DEF,IPS,~,"Woolfenden (DEF, ~)",2,0.33333333333,0.0,0.20601132958,0.55555555556,1,0.1144507386555555,2,0.1258958125211111,0,0.0,0.12017327559,1,0,0,-0.12017327559,~
271,Marcus,Myers-Harness,MID,IPS,~,"Harness (MID, ~)",2,0.33333333333,0.0,0.20601132958,0.44444444444,1,0.1144507386555555,0,0.0,-2,0.0801155170588888,0.09728312786,1,0,0,-0.09728312786,~
260,Ali,Al-Hamadi,FWD,IPS,~,"Al-Hamadi (FWD, ~)",1,0.16666666667,0.0,0.10300566479,0.27777777778,1,0.0572253693277777,0,0.0,-2,0.0400577585294444,0.04864156393,1,0,0,-0.04864156393,~
269,George,Edmundson,DEF,IPS,~,"Edmundson (DEF, ~)",1,0.16666666667,0.0,0.10300566479,0.27777777778,1,0.0572253693277777,2,0.0629479062605555,0,0.0,0.06008663779,1,0,0,-0.06008663779,~
261,Elkan,Baggott,DEF,IPS,~,"Baggott (DEF, ~)",0,0.0,0.0,0.0,0.0,1,0.0,2,0.0,0,0.0,0.0,1,0,0,0.0,~
262,Nathan,Broadhead,MID,IPS,~,"Broadhead (MID, ~)",0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,-2,0.0,0.0,1,0,0,0.0,~
263,Cameron,Burgess,DEF,IPS,~,"Burgess (DEF, ~)",0,0.0,0.0,0.0,0.0,1,0.0,2,0.0,0,0.0,0.0,1,0,0,0.0,~
266,Harry,Clarke,DEF,IPS,~,"H.Clarke (DEF, ~)",0,0.0,0.0,0.0,0.0,1,0.0,2,0.0,0,0.0,0.0,1,0,0,0.0,~
273,Cameron,Humphreys,MID,IPS,~,"Humphreys (MID, ~)",0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,-2,0.0,0.0,1,0,0,0.0,~
276,Freddie,Ladapo,FWD,IPS,~,"Ladapo (FWD, ~)",0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,-2,0.0,0.0,1,0,0,0.0,~
279,Corrie,Ndaba,DEF,IPS,~,"Ndaba (DEF, ~)",0,0.0,0.0,0.0,0.0,1,0.0,2,0.0,0,0.0,0.0,1,0,0,0.0,~
