id,1st_name,2nd_name,position,team,tot_pts,prvGWsPtsTrend,web_name,pts/game,form,xPts,fplAdv_nxtGWs,fplAdv*xPts,defAdv_nxtGWs,defAdv*xPts,attAdv_nxtGWs,attAdv*xPts,avgAdv*xPts,#OfMatches_nxtGWs,tot_xPts,gw3Pts,gw4Pts,gw5Pts,gw6Pts,tot_aPts,tot_aPts/tot_xPts,nxtGWsPtsTrend
154,Danny,Welbeck,FWD,BHA,3,?,"Welbeck (FWD, ?)",1.5,1.5,1.5,7,10.5,-2,0.0,8,12.0,11.25,4,6.0,0,0,0,0,0,0,?
150,Jan Paul,van Hecke,DEF,BHA,2,?,"Van Hecke (DEF, ?)",2.0,1.0,1.667,7,11.669,-2,-1.1997600479904018,8,0.0,5.234619976004799,4,6.668,0,0,0,0,0,0,?
151,Joël,Veltman,DEF,BHA,2,?,"Veltman (DEF, ?)",1.0,1.0,1.0,7,7.0,-2,-2.0,8,0.0,2.5,4,4.0,0,0,0,0,0,0,?
138,Adam,Lallana,MID,BHA,1,?,"Lallana (MID, ?)",1.0,0.5,0.833,7,5.8309999999999995,-2,0.0,8,6.664,6.2475,4,3.332,0,0,0,0,0,0,?
153,Adam,Webster,DEF,BHA,1,?,"Webster (DEF, ?)",1.0,0.5,0.833,7,5.8309999999999995,-2,-2.4009603841536618,8,0.0,1.7150198079231689,4,3.332,0,0,0,0,0,0,?
123,Steven,Alzate,MID,BHA,0,?,"Alzate (MID, ?)",0.0,0.0,0.0,7,0.0,-2,0.0,8,0.0,0.0,4,0.0,0,0,0,0,0,0,?
124,Yasin,Ayari,MID,BHA,0,?,"Ayari (MID, ?)",0.0,0.0,0.0,7,0.0,-2,0.0,8,0.0,0.0,4,0.0,0,0,0,0,0,0,?
125,Facundo,Buonanotte,MID,BHA,0,?,"Buonanotte (MID, ?)",0.0,0.0,0.0,7,0.0,-2,0.0,8,0.0,0.0,4,0.0,0,0,0,0,0,0,?
127,Aaron,Connolly,FWD,BHA,0,?,"Connolly (FWD, ?)",0.0,0.0,0.0,7,0.0,-2,0.0,8,0.0,0.0,4,0.0,0,0,0,0,0,0,?
136,Michał,Karbownik,DEF,BHA,0,?,"Karbownik (DEF, ?)",0.0,0.0,0.0,7,0.0,-2,-inf,8,0.0,-inf,4,0.0,0,0,0,0,0,0,?
137,Kacper,Kozłowski,MID,BHA,0,?,"Kozłowski (MID, ?)",0.0,0.0,0.0,7,0.0,-2,0.0,8,0.0,0.0,4,0.0,0,0,0,0,0,0,?
139,Tariq,Lamptey,DEF,BHA,0,?,"Lamptey (DEF, ?)",0.0,0.0,0.0,7,0.0,-2,-inf,8,0.0,-inf,4,0.0,0,0,0,0,0,0,?
141,Tom,McGill,GKP,BHA,0,?,"McGill (GKP, ?)",0.0,0.0,0.0,7,0.0,-2,-inf,8,0.0,-inf,4,0.0,0,0,0,0,0,0,?
144,Jakub,Moder,MID,BHA,0,?,"Moder (MID, ?)",0.0,0.0,0.0,7,0.0,-2,0.0,8,0.0,0.0,4,0.0,0,0,0,0,0,0,?
146,Jeremy,Sarmiento Morante,MID,BHA,0,?,"Sarmiento (MID, ?)",0.0,0.0,0.0,7,0.0,-2,0.0,8,0.0,0.0,4,0.0,0,0,0,0,0,0,?
147,Kjell,Scherpen,GKP,BHA,0,?,"Scherpen (GKP, ?)",0.0,0.0,0.0,7,0.0,-2,-inf,8,0.0,-inf,4,0.0,0,0,0,0,0,0,?
149,Deniz,Undav,FWD,BHA,0,?,"Undav (FWD, ?)",0.0,0.0,0.0,7,0.0,-2,0.0,8,0.0,0.0,4,0.0,0,0,0,0,0,0,?
152,Bart,Verbruggen,GKP,BHA,0,?,"Verbruggen (GKP, ?)",0.0,0.0,0.0,7,0.0,-2,-inf,8,0.0,-inf,4,0.0,0,0,0,0,0,0,?
155,Andi,Zeqiri,FWD,BHA,0,?,"Zeqiri (FWD, ?)",0.0,0.0,0.0,7,0.0,-2,0.0,8,0.0,0.0,4,0.0,0,0,0,0,0,0,?
606,Igor Julio,dos Santos de Paulo,DEF,BHA,0,?,"Igor (DEF, ?)",0.0,0.0,0.0,7,0.0,-2,-inf,8,0.0,-inf,4,0.0,0,0,0,0,0,0,?
621,Jack,Hinshelwood,MID,BHA,0,?,"Hinshelwood (MID, ?)",0.0,0.0,0.0,7,0.0,-2,0.0,8,0.0,0.0,4,0.0,0,0,0,0,0,0,?
77,Norberto,Murara Neto,GKP,BOU,12,?,"Neto (GKP, ?)",6.0,6.0,6.0,-8,-1.3333333333333333,-9,-1.5,-2,0.0,-1.4166666666666665,4,24.0,0,0,0,0,0,0,?
85,Dominic,Solanke,FWD,BOU,12,?,"Solanke (FWD, ?)",6.0,6.0,6.0,-8,-1.3333333333333333,-9,0.0,-2,-0.3333333333333333,-0.8333333333333333,4,24.0,0,0,0,0,0,0,?
82,Antoine,Semenyo,FWD,BOU,10,?,"Semenyo (FWD, ?)",5.0,5.0,5.0,-8,-1.6,-9,0.0,-2,-0.4,-1.0,4,20.0,0,0,0,0,0,0,?
63,Philip,Billing,MID,BOU,4,?,"Billing (MID, ?)",2.0,2.0,2.0,-8,-4.0,-9,0.0,-2,-1.0,-2.5,4,8.0,0,0,0,0,0,0,?
65,Ryan,Christie,MID,BOU,4,?,"Christie (MID, ?)",2.0,2.0,2.0,-8,-4.0,-9,0.0,-2,-1.0,-2.5,4,8.0,0,0,0,0,0,0,?
81,Joe,Rothwell,MID,BOU,4,?,"Rothwell (MID, ?)",2.0,2.0,2.0,-8,-4.0,-9,0.0,-2,-1.0,-2.5,4,8.0,0,0,0,0,0,0,?
64,David,Brooks,MID,BOU,3,?,"Brooks (MID, ?)",1.5,1.5,1.5,-8,-5.333333333333333,-9,0.0,-2,-1.3333333333333333,-3.333333333333333,4,6.0,0,0,0,0,0,0,?
89,Illia,Zabarnyi,DEF,BOU,3,?,"Zabarnyi (DEF, ?)",1.5,1.5,1.5,-8,-5.333333333333333,-9,-6.0,-2,0.0,-5.666666666666666,4,6.0,0,0,0,0,0,0,?
595,Milos,Kerkez,DEF,BOU,3,?,"Kerkez (DEF, ?)",1.5,1.5,1.5,-8,-5.333333333333333,-9,-6.0,-2,0.0,-5.666666666666666,4,6.0,0,0,0,0,0,0,?
643,Max,Aarons,DEF,BOU,3,?,"Aarons (DEF, ?)",1.5,1.5,1.5,-8,-5.333333333333333,-9,-6.0,-2,0.0,-5.666666666666666,4,6.0,0,0,0,0,0,0,?
62,Jaidon,Anthony,MID,BOU,2,?,"Anthony (MID, ?)",1.0,1.0,1.0,-8,-8.0,-9,0.0,-2,-2.0,-5.0,4,4.0,0,0,0,0,0,0,?
