id,1st_name,2nd_name,position,team,tot_pts,prvGWsPtsTrend,web_name,pts/game,form,xPts,^fplAdv*xPts,^defAdv*xPts,^attAdv*xPts,^avgAdv*xPts,fplAdv_nxtGWs,defAdv_nxtGWs,attAdv_nxtGWs,#OfMatches_nxtGWs,tot_xPts,gw1Pts,gw2Pts,tot_aPts,tot_aPts/tot_xPts,nxtGWsPtsTrend
70,Milos,Kerkez,DEF,BOU,59,?,"Kerkez (DEF, ?)",2.1,0.0,1.05,0.9916666666666667,0.9916666666666667,0.0,0.99167,-1,-1,0,2,2.1,0,0,0,0,?
80,Luis,Sinisterra,MID,BOU,43,?,"Sinisterra (MID, ?)",2.1,0.0,1.05,0.9916666666666667,0.0,0.9916666666666667,0.99167,-1,0,-1,2,2.1,0,0,0,0,?
74,Dango,Ouattara,MID,BOU,56,?,"O.Dango (MID, ?)",1.9,0.0,0.95,0.8972222222222221,0.0,0.8972222222222221,0.89722,-1,0,-1,2,1.9,0,0,0,0,?
77,Alex,Scott,MID,BOU,41,?,"Scott (MID, ?)",1.8,0.0,0.9,0.85,0.0,0.85,0.85,-1,0,-1,2,1.8,0,0,0,0,?
62,David,Brooks,MID,BOU,23,?,"Brooks (MID, ?)",1.8,0.0,0.9,0.85,0.0,0.85,0.85,-1,0,-1,2,1.8,0,0,0,0,?
60,Tyler,Adams,MID,BOU,5,?,"Adams (MID, ?)",1.7,0.0,0.85,0.8027777777777778,0.0,0.8027777777777778,0.80278,-1,0,-1,2,1.7,0,0,0,0,?
72,Chris,Mepham,DEF,BOU,16,?,"Mepham (DEF, ?)",1.6,0.0,0.8,0.7555555555555555,0.7555555555555555,0.0,0.75556,-1,-1,0,2,1.6,0,0,0,0,?
59,Max,Aarons,DEF,BOU,28,?,"Aarons (DEF, ?)",1.4,0.0,0.7,0.6611111111111111,0.6611111111111111,0.0,0.66111,-1,-1,0,2,1.4,0,0,0,0,?
68,James,Hill,DEF,BOU,5,?,"Hill (DEF, ?)",1.0,0.0,0.5,0.4722222222222222,0.4722222222222222,0.0,0.47222,-1,-1,0,2,1.0,0,0,0,0,?
61,Jaidon,Anthony,MID,BOU,3,?,"Anthony (MID, ?)",1.0,0.0,0.5,0.4722222222222222,0.0,0.4722222222222222,0.47222,-1,0,-1,2,1.0,0,0,0,0,?
67,Hamed,Traorè,MID,BOU,3,?,"H.Traorè (MID, ?)",1.0,0.0,0.5,0.4722222222222222,0.0,0.4722222222222222,0.47222,-1,0,-1,2,1.0,0,0,0,0,?
69,Daniel,Jebbison,FWD,BOU,1,?,"Jebbison (FWD, ?)",1.0,0.0,0.5,0.4722222222222222,0.0,0.4722222222222222,0.47222,-1,0,-1,2,1.0,0,0,0,0,?
66,Romain,Faivre,MID,BOU,4,?,"Faivre (MID, ?)",0.8,0.0,0.4,0.37777777777777777,0.0,0.37777777777777777,0.37778,-1,0,-1,2,0.8,0,0,0,0,?
75,Alex,Paulsen,GKP,BOU,0,?,"Paulsen (GKP, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,2,0.0,0,0,0,0,?
99,Bryan,Mbeumo,MID,BRE,127,?,"Mbeumo (MID, ?)",5.1,0.0,2.55,1.5583333333333331,0.0,1.5583333333333331,1.55833,-7,0,-7,2,5.1,0,0,0,0,?
110,Yoane,Wissa,FWD,BRE,131,?,"Wissa (FWD, ?)",3.9,0.0,1.95,1.1916666666666667,0.0,1.1916666666666667,1.19167,-7,0,-7,2,3.9,0,0,0,0,?
108,Ivan,Toney,FWD,BRE,57,?,"Toney (FWD, ?)",3.4,0.0,1.7,1.0388888888888888,0.0,1.0388888888888888,1.03889,-7,0,-7,2,3.4,0,0,0,0,?
91,Mark,Flekken,GKP,BRE,119,?,"Flekken (GKP, ?)",3.2,0.0,1.6,0.9777777777777779,0.9777777777777779,0.0,0.97778,-7,-7,0,2,3.2,0,0,0,0,?
95,Mathias,Jensen,MID,BRE,98,?,"Jensen (MID, ?)",3.1,0.0,1.55,0.9472222222222223,0.0,0.9472222222222223,0.94722,-7,0,-7,2,3.1,0,0,0,0,?
106,Kevin,Schade,MID,BRE,33,?,"Schade (MID, ?)",3.0,0.0,1.5,0.9166666666666667,0.0,0.9166666666666667,0.91667,-7,0,-7,2,3.0,0,0,0,0,?
104,Ethan,Pinnock,DEF,BRE,77,?,"Pinnock (DEF, ?)",2.7,0.0,1.35,0.825,0.825,0.0,0.825,-7,-7,0,2,2.7,0,0,0,0,?
88,Nathan,Collins,DEF,BRE,84,?,"Collins (DEF, ?)",2.6,0.0,1.3,0.7944444444444444,0.7944444444444444,0.0,0.79444,-7,-7,0,2,2.6,0,0,0,0,?
92,Rico,Henry,DEF,BRE,13,?,"Henry (DEF, ?)",2.6,0.0,1.3,0.7944444444444444,0.7944444444444444,0.0,0.79444,-7,-7,0,2,2.6,0,0,0,0,?
94,Vitaly,Janelt,MID,BRE,93,?,"Janelt (MID, ?)",2.4,0.0,1.2,0.7333333333333334,0.0,0.7333333333333334,0.73333,-7,0,-7,2,2.4,0,0,0,0,?
101,Christian,Nørgaard,MID,BRE,74,?,"Nørgaard (MID, ?)",2.4,0.0,1.2,0.7333333333333334,0.0,0.7333333333333334,0.73333,-7,0,-7,2,2.4,0,0,0,0,?
